"latitude","longitude","victim_name","victim_phone"
34.17813,-77.88856,"Landon Bell","(704) 555-8375"
34.20150,-77.81502,"Gabriella Ramirez","(984) 555-2079"
34.18949,-77.95148,"Autumn Foster","(336) 555-9522"
34.20557,-77.84761,"Everly Reed","(704) 555-4605"
34.19413,-77.87578,"Wyatt Williams","(828) 555-4520"
34.22400,-77.97605,"Matthew Sanchez","(651) 555-2086"
34.15880,-77.90800,"Gabriella Flores","(828) 555-6366"
34.17563,-77.93797,"Aaliyah Robinson","(910) 555-3138"
34.09122,-77.91295,"Melanie Washington","(704) 555-7024"
34.22641,-77.93987,"Peyton Cox","(910) 555-5896"
34.05148,-77.90728,"Nolan Johnson","(336) 555-8443"
34.13647,-77.88937,"Angel Brooks","(828) 555-4037"
34.14914,-77.86888,"Bryson Campbell","(984) 555-9886"
34.14923,-77.89814,"Oliver Perez","(252) 555-7395"
34.12585,-77.88488,"Penelope Bailey","(252) 555-5964"
34.12481,-77.91390,"Logan Gonzalez","(252) 555-5895"
34.21622,-77.93550,"Aiden Bell","(651) 555-1293"
34.18115,-77.85904,"Eli Tison","(336) 555-3866"
34.10095,-77.91308,"Hudson Mosher","(202) 555-1758"
34.22604,-77.89830,"Mia Gray","(984) 555-7146"
34.22933,-77.97281,"Chuck Allen","(704) 555-1166"
34.13641,-77.89629,"Sofia Gonzales","(984) 555-1812"
34.24687,-77.94716,"Parker Green","(828) 555-8471"
34.18473,-77.96517,"Elena Stewart","(252) 555-8191"
34.16411,-77.86788,"Ethan Gonzalez","(984) 555-3466"
34.20237,-77.95324,"Sebastian Campbell","(984) 555-2871"
34.19290,-77.92178,"Savannah Diaz","(252) 555-3221"
34.25413,-77.84860,"Sarah Nelson","(651) 555-7471"
34.21802,-77.96223,"Jameson Martinez","(252) 555-8470"
34.11951,-77.89726,"Christopher Harris","(252) 555-6878"
34.23948,-77.94758,"Dominic Lewis","(704) 555-1761"
34.20922,-77.80306,"Bernard Mosher","(704) 555-7049"
34.24694,-77.93325,"Savannah Hayes","(984) 555-3208"
34.25224,-77.83735,"Kaylee Cook","(704) 555-1909"
34.04941,-77.90997,"Bernard Robinson","(651) 555-6387"
34.16194,-77.90528,"Emilia Adams","(414) 555-9587"
34.13983,-77.90282,"Jeremiah Torres","(704) 555-5607"
34.19055,-77.90793,"Aurora Taylor","(828) 555-4699"
34.19641,-77.85671,"Angel Reed","(828) 555-4009"
34.17715,-77.85561,"Gabriel Clark","(828) 555-4448"
34.21338,-77.89726,"Scarlett Scott","(984) 555-4444"
34.22228,-77.78690,"Mateo Collins","(252) 555-5405"
34.23416,-77.92731,"Aiden King","(651) 555-3434"
34.24004,-77.80332,"Hunter Washington","(984) 555-9121"
34.25530,-77.86739,"Hailey Adams","(704) 555-3774"
34.22317,-77.80040,"Greyson Kelly","(252) 555-6222"
34.24867,-77.86459,"Harper Flores","(651) 555-8805"
34.22547,-77.85727,"Sebastian Perez","(651) 555-2423"
34.25325,-77.88422,"Addison Martinez","(704) 555-7467"
34.16163,-77.86867,"Nolan Stewart","(704) 555-3765"
34.23881,-77.83397,"Sofia Lee","(704) 555-4835"
34.24440,-77.87487,"Sadie Krohg","(828) 555-7367"
34.08193,-77.92063,"Quinn Krohg","(828) 555-4712"
34.15509,-77.92718,"Maverick Hill","(202) 555-9751"
34.06843,-77.89225,"Levi Thompson","(336) 555-8258"
34.05057,-77.90985,"Dominic Robinson","(252) 555-2905"
34.21793,-77.79565,"Violet Allen","(828) 555-3963"
34.24906,-77.91613,"Hailey Mosher","(720) 555-8321"
34.03140,-77.91200,"Isaac Adams","(984) 555-1125"
34.21277,-77.97054,"Jace Coleman","(252) 555-5464"
34.23691,-77.83878,"Aiden Moore","(828) 555-4367"
34.13886,-77.90359,"Kennedy Murphy","(252) 555-3033"
34.06982,-77.91939,"Serenity Robinson","(651) 555-8895"
34.21205,-77.88192,"Leo Sanchez","(336) 555-7853"
34.23444,-77.80548,"Cora Williams","(651) 555-8083"
34.07223,-77.91197,"Liam Collins","(704) 555-0269"
34.19699,-77.85973,"Elijah Jarae","(252) 555-5188"
34.23773,-77.91943,"Isaiah Hall","(828) 555-1226"
34.18455,-77.86450,"Aurora Allen","(252) 555-2126"
34.13247,-77.91646,"Luke Bell","(828) 555-6725"
34.23179,-77.79169,"Madison Perez","(984) 555-3796"
34.06857,-77.90340,"Christopher Gonzales","(828) 555-4850"
34.23459,-77.87607,"Claire Davis","(303) 555-8809"
34.16958,-77.87017,"Naomi Torres","(252) 555-0416"
34.25413,-77.87945,"Gianna Krohg","(303) 555-1044"
34.19972,-77.81717,"Elena Simmons","(651) 555-5977"
34.10927,-77.87957,"Sophia Miller","(336) 555-6104"
34.20292,-77.96762,"Allison Wright","(828) 555-8482"
34.23012,-77.86701,"Michael Tyrrell","(651) 555-6000"
34.10141,-77.90260,"Andy Lopez","(704) 555-3280"
34.10065,-77.89605,"Charles Russell","(828) 555-6143"
34.21562,-77.82033,"Julian Alexander","(828) 555-3233"
34.23036,-77.79246,"William Martinez","(336) 555-3925"
34.08567,-77.90813,"Kayden Thomas","(252) 555-7014"
34.17962,-77.84668,"Lincoln Allen","(828) 555-2659"
34.04179,-77.91935,"Caroline Jackson","(704) 555-3589"
34.18329,-77.84052,"Isabella Hayes","(704) 555-2203"
34.03921,-77.89674,"Ian Clark","(252) 555-8540"
34.22835,-77.91236,"Gabriel Watson","(252) 555-7212"
34.17167,-77.86175,"Alexa Jones","(704) 555-1265"
34.14570,-77.89470,"Carter Lee","(336) 555-4812"
34.22900,-77.79522,"Nolan Parker","(828) 555-3371"
34.15994,-77.87648,"Jameson Gonzales","(336) 555-2928"
34.15538,-77.89088,"James Washington","(336) 555-1224"
34.08717,-77.89999,"Bella Evans","(651) 555-2266"
34.23131,-77.81054,"Jeremiah Lee","(336) 555-8788"
34.18137,-77.91378,"Christian Bennett","(704) 555-7797"
34.22120,-77.96913,"Aaliyah Jenkins","(720) 555-0963"
34.24527,-77.85846,"Leah Adams","(828) 555-3651"
34.22015,-77.81447,"Austin Sanders","(910) 555-2131"
34.07237,-77.90999,"Abigail Gonzalez","(828) 555-0102"
34.16097,-77.90164,"Charles Jarae","(984) 555-2517"
34.23328,-77.86351,"Brooklyn Rivera","(984) 555-3340"
34.22284,-77.79891,"Sebastian Krohg","(704) 555-8843"
34.23782,-77.81743,"Madelyn Ramirez","(984) 555-6745"
34.08417,-77.91808,"Kennedy Mosher","(984) 555-8200"
34.23330,-77.89400,"Daniel Adams","(704) 555-2779"
34.08771,-77.89572,"Bryson Rodriguez","(984) 555-5884"
34.22849,-77.89062,"Hailey Price","(336) 555-4045"
34.20680,-77.92866,"Elijah Roberts","(651) 555-7801"
34.18170,-77.90304,"Hazel Henderson","(252) 555-9002"
34.25613,-77.90805,"Easton Foster","(336) 555-8793"
34.21183,-77.88330,"Valentina Richardson","(414) 555-8417"
34.20777,-77.82810,"Chase Lee","(984) 555-9245"
34.08443,-77.91817,"Gabriella Jones","(704) 555-9105"
34.18239,-77.92686,"Sophia Perry","(252) 555-1227"
34.15744,-77.92004,"Cora Ward","(252) 555-0320"
34.20209,-77.80712,"Clara Nelson","(720) 555-3019"
34.20959,-77.94327,"Noah Robinson","(252) 555-0693"
34.22790,-77.91899,"Cooper Hill","(336) 555-1880"
34.22891,-77.90224,"Aubrey Watson","(984) 555-3625"
34.24058,-77.88233,"Gianna Williams","(828) 555-8089"
34.18038,-77.94699,"Peyton Clark","(202) 555-8916"
34.10243,-77.88725,"James Ramirez","(984) 555-5667"
34.23974,-77.83520,"Naomi Foster","(651) 555-3941"
34.19961,-77.82368,"Charles Watson","(910) 555-9095"
34.11356,-77.90189,"Everly Walker","(252) 555-9898"
34.20831,-77.85053,"Grace Murphy","(252) 555-3579"
34.10971,-77.88943,"Jayden Jones","(252) 555-6916"
34.15808,-77.92013,"Samantha Washington","(720) 555-4981"
34.04243,-77.90567,"Ezekiel Lee","(704) 555-1834"
34.19488,-77.82360,"Santiago Foster","(651) 555-6835"
34.17677,-77.88184,"Mackenzie Rogers","(828) 555-8281"
34.06719,-77.91550,"Jayden Sanders","(252) 555-5651"
34.13519,-77.90591,"Leonardo Garcia","(252) 555-6858"
34.17486,-77.90414,"Aria Murphy","(651) 555-9751"
34.21765,-77.93709,"Thomas Powell","(704) 555-2810"
34.06414,-77.91595,"Aaliyah Perry","(252) 555-7596"
34.11697,-77.94283,"Isaac Wright","(984) 555-9365"
34.10562,-77.92534,"Everly Mitchell","(704) 555-4845"
34.14046,-77.88484,"Evelyn Williams","(984) 555-7781"
34.13855,-77.87121,"Eli Bell","(336) 555-6567"
34.10532,-77.91328,"Julia Alexander","(984) 555-1897"
34.01903,-77.91798,"Matthew Evans","(704) 555-7268"
34.23051,-77.91258,"Luna Williams","(252) 555-6905"
34.10109,-77.90072,"Jayden Smith","(252) 555-0010"
34.19397,-77.92282,"Victoria Lewis","(704) 555-8103"
34.17790,-77.93098,"Eleanor Cooper","(651) 555-0673"
34.23378,-77.86850,"Chloe Adams","(336) 555-0187"
34.25978,-77.94680,"Elena Richardson","(252) 555-2276"
34.18731,-77.84671,"Brayden Howard","(336) 555-5320"
34.04755,-77.91940,"Benjamin Green","(828) 555-8903"
34.21543,-77.93524,"James Garcia","(252) 555-6743"
34.18793,-77.88382,"Ethan Hill","(828) 555-6739"
34.23673,-77.80941,"Leah Adams","(651) 555-5325"
34.18477,-77.84137,"Piper Hall","(984) 555-5571"
34.06107,-77.91039,"Josiah Lee","(651) 555-4017"
34.23529,-77.90222,"Grace Walker","(252) 555-4279"
34.24389,-77.88740,"Isabelle Richardson","(651) 555-4783"
34.22594,-77.82159,"Mackenzie Flores","(704) 555-9002"
34.18180,-77.94842,"Quinn Harris","(252) 555-2510"
34.23844,-77.91659,"Grace Mitchell","(252) 555-9534"
34.07057,-77.88768,"Autumn Ross","(828) 555-2007"
34.04217,-77.90215,"Justin Simmons","(336) 555-8083"
34.15773,-77.90391,"Ariana Morris","(984) 555-3146"
34.12477,-77.90449,"Sebastian Watson","(651) 555-8174"
34.23941,-77.78448,"Jose Lee","(651) 555-7009"
34.21105,-77.96932,"Skylar Roberts","(828) 555-1820"
34.20849,-77.85429,"Ellie Nelson","(336) 555-2068"
34.05392,-77.89630,"Kaylee Tyrrell","(828) 555-5309"
34.19506,-77.95394,"Benjamin Collins","(984) 555-3684"
34.23492,-77.78972,"Elena Powell","(336) 555-4202"
34.23737,-77.84528,"Sofia Bell","(704) 555-1682"
34.22927,-77.91432,"Allison Peterson","(651) 555-6360"
34.19027,-77.84718,"Dominic Cook","(336) 555-3583"
34.00202,-77.90906,"Caleb Phillips","(252) 555-2074"
34.19538,-77.86994,"Willow Jarae","(704) 555-8069"
34.23526,-77.89022,"Grayson Howard","(414) 555-7760"
34.05696,-77.88913,"Mackenzie Miller","(704) 555-9492"
34.17486,-77.88945,"Connor Cox","(252) 555-1607"
34.14754,-77.88306,"Landon Wilson","(252) 555-4354"
34.02370,-77.90943,"Lillian Walker","(828) 555-9743"
34.24104,-77.87306,"Zoey Parker","(651) 555-2549"
34.25763,-77.84593,"Allison Evans","(828) 555-4659"
34.14495,-77.86324,"Aiden Butler","(651) 555-9178"
34.22751,-77.94891,"Benjamin Rodriguez","(651) 555-6446"
34.22702,-77.83956,"Ayden Lee","(828) 555-2981"
34.18328,-77.87930,"Layla Gray","(828) 555-0162"
34.15232,-77.92553,"Lucy Torres","(336) 555-9722"
34.16067,-77.85511,"Valentina Martinez","(252) 555-5536"
34.14961,-77.92190,"Ryan Nelson","(336) 555-9504"
34.14054,-77.88401,"Charles Scott","(859) 555-7854"
34.25074,-77.92069,"Arianna Wright","(704) 555-0170"
34.25222,-77.87572,"Lucy Flores","(252) 555-6328"
34.08263,-77.91877,"Mike Morris","(336) 555-7541"
34.19443,-77.85897,"Easton Cox","(252) 555-8305"
34.09519,-77.90515,"Ethan Jenkins","(828) 555-2547"
34.19921,-77.95429,"Peyton Nelson","(303) 555-3649"
34.10195,-77.89060,"Ava Jones","(704) 555-1329"
34.25757,-77.90579,"Elijah Cooper","(336) 555-9434"
34.07403,-77.91050,"Nicholas Baker","(828) 555-7057"
34.15126,-77.88141,"Gabriella Carter","(828) 555-8109"
34.22541,-77.83795,"Audrey Peterson","(828) 555-4873"
34.19917,-77.95030,"Jace Rivera","(202) 555-4881"
34.23250,-77.79208,"Landon Russell","(252) 555-5582"
34.17945,-77.84522,"Ezekiel Morris","(252) 555-1431"
34.17526,-77.87709,"Lily Rivera","(651) 555-1130"
34.18949,-77.89551,"Joshua Rogers","(828) 555-4775"
34.20529,-77.90938,"Piper Jones","(704) 555-2698"
34.22478,-77.96186,"Leo Mitchell","(704) 555-1122"
34.24677,-77.79515,"Caleb Lopez","(704) 555-1216"
34.09697,-77.89668,"Olivia Thomas","(252) 555-2050"
34.22824,-77.89345,"Leonardo Clark","(828) 555-1401"
34.21695,-77.83481,"Madison Patterson","(336) 555-9798"
34.19504,-77.85785,"Aurora Williams","(910) 555-7611"
34.24129,-77.85696,"Alexa Tyrrell","(252) 555-6310"
34.22306,-77.93106,"Addison Bennett","(828) 555-2467"
34.04185,-77.90761,"Paisley Powell","(252) 555-4864"
34.02886,-77.91361,"Alice Hall","(252) 555-6009"
34.14659,-77.87244,"Stella Gonzalez","(704) 555-1592"
34.09229,-77.90365,"Cameron Bennett","(984) 555-3780"
34.09986,-77.87948,"Owen Thomas","(704) 555-5149"
34.13606,-77.91060,"Addison Flores","(336) 555-4769"
34.09890,-77.88292,"Easton Wood","(651) 555-4037"
34.23568,-77.87319,"Aurora Foster","(704) 555-5487"
34.05102,-77.89601,"William Anderson","(651) 555-3034"
34.04984,-77.91706,"Robert Brooks","(984) 555-9306"
34.23175,-77.87424,"Bella Hall","(336) 555-4302"
34.23277,-77.78997,"Santiago Young","(984) 555-6526"
34.23462,-77.86271,"Emily Sanchez","(828) 555-9142"
34.22684,-77.83923,"Hudson Stewart","(252) 555-9019"
34.23324,-77.80927,"Natalie Perry","(651) 555-9893"
34.11125,-77.91275,"Hannah Washington","(651) 555-3262"
34.20532,-77.95385,"Nicholas Carter","(651) 555-6475"
34.24014,-77.93790,"Nolan Young","(336) 555-5210"
34.20990,-77.83260,"Piper Patterson","(704) 555-9583"
34.01150,-77.91879,"Evan Davis","(651) 555-6006"
34.18435,-77.87157,"Elijah Long","(704) 555-4753"
34.16199,-77.90340,"Evan Smith","(651) 555-6706"
34.15353,-77.93282,"Luke Hughes","(336) 555-6579"
34.15854,-77.92908,"Paisley Parker","(704) 555-3258"
34.15913,-77.92982,"Zoe Long","(910) 555-1754"
34.13603,-77.87647,"Violet Patterson","(859) 555-7791"
34.12095,-77.92209,"Gabriel James","(859) 555-9689"
34.11300,-77.91527,"Ellie Powell","(651) 555-4946"
34.20023,-77.90256,"Maya Perez","(828) 555-6015"
34.22191,-77.91877,"Naomi Carter","(704) 555-0335"
34.24460,-77.79511,"Lillian Martinez","(252) 555-0181"
34.14699,-77.86084,"Ellie Evans","(704) 555-5696"
34.06862,-77.90300,"Adeline Bell","(651) 555-3086"
34.16334,-77.90739,"Hailey Jenkins","(414) 555-2896"
34.03156,-77.90008,"Skylar James","(336) 555-0715"
34.19480,-77.82067,"Arianna Ward","(984) 555-6709"
34.19144,-77.85795,"Gabriel Carter","(984) 555-1334"
34.05276,-77.91885,"Jaxson Thompson","(828) 555-7308"
34.16653,-77.87877,"Wyatt Johnson","(303) 555-4814"
34.22462,-77.87468,"Allison Mitchell","(303) 555-0826"
34.22718,-77.91541,"Luna Edwards","(336) 555-2783"
34.19498,-77.82300,"Mila Tison","(303) 555-7291"
34.15860,-77.88296,"Julian Jenkins","(252) 555-0289"
34.20316,-77.81740,"Evelyn Williams","(984) 555-8063"
34.04386,-77.91186,"Skylar Gonzales","(336) 555-5972"
34.17902,-77.85094,"Aaron Alexander","(984) 555-8238"
34.08625,-77.91483,"Samantha Morgan","(336) 555-9062"
34.05611,-77.90025,"Hunter Mosher","(704) 555-0990"
